taxon_present	BLASTn	BLAST_MTS1	BLAST_MTS10	BLAST_MAXHSP1	BLAST_CUL10	Diamond_blastx	DIAMOND_MTS1	DIAMOND_MAXHSP1	DIAMOND_MTS10	Rhabditida Precision	Rhabditida Recall	Primates Precision	Primates Recall	Pseudomonadales Precision	Pseudomonadales Recall	Enterobacterales Precision	Enterobacterales Recall
1	1	0	1	1	0	1	1	1	0	1.0	0.999938997251	1.0	0.999876482909	1.0	1.0	0.999271995478	0.999925132067
1	1	1	0	0	0	1	0	1	1	1.0	0.999959731097	1.0	0.999776944042	1.0	1.0	0.999708200488	0.99966649739
1	1	1	0	0	0	1	0	0	1	1.0	0.999959731097	1.0	0.999776944042	1.0	1.0	0.999708200488	0.99966649739
1	1	1	0	0	0	1	1	1	0	1.0	0.999959731097	1.0	0.999776944042	1.0	1.0	0.999708200488	0.99966649739
1	1	1	0	1	0	1	0	1	1	1.0	0.999959731097	1.0	0.999776944042	1.0	1.0	0.999708200488	0.99966649739
1	1	1	0	1	0	1	0	0	1	1.0	0.999959731097	1.0	0.999776944042	1.0	1.0	0.999708200488	0.99966649739
1	1	1	0	1	0	1	1	1	0	1.0	0.999959731097	1.0	0.999776944042	1.0	1.0	0.999708200488	0.99966649739
0	1	1	0	0	0	0	0	0	0	0.999950722531	0.784993840776	1.0	0.942008530984	1.0	0.900777423811	0.999705971825	0.992087052305
0	1	1	0	1	0	0	0	0	0	0.999950722531	0.784993840776	1.0	0.942008530984	1.0	0.900777423811	0.999705971825	0.992087052305
0	1	0	1	0	0	0	0	0	0	1.0	0.782478957622	0.999555744605	0.965353787472	1.0	0.982369626615	0.999562885483	0.998599025575
0	1	0	1	1	0	0	0	0	0	1.0	0.780433197283	0.999555800071	0.96547438039	1.0	0.886279863569	0.999562634711	0.998026209046
0	1	0	0	0	1	0	0	0	0	1.0	0.784901919682	0.999566248971	0.988742633641	1.0	0.40534473645	0.999563254917	0.999444089133
0	1	0	0	1	1	0	0	0	0	1.0	0.781828129591	0.999566355013	0.988984521277	1.0	0.00403807669356	0.999562626056	0.998006449181
0	0	0	0	0	0	1	1	0	0	0.999525683449	0.975884014218	0.999956586324	0.570705453944	1.0	0.581897333371	0.816673695974	0.670011792248
0	0	0	0	0	0	1	0	0	1	1.0	0.976353647822	1.0	0.591908343925	1.0	0.302916842436	0.864158020739	0.956792640197
0	0	0	0	0	0	1	0	1	1	1.0	0.976353647822	1.0	0.591908343925	1.0	0.302916842436	0.864158020739	0.956792640197
0	1	0	0	0	1	1	0	1	1	1.0	0.970230564644	0.999566248971	0.988742633641	1.0	0.407161051064	0.999563254917	0.999444089133
0	1	0	0	0	1	1	0	0	1	1.0	0.970230564644	0.999566248971	0.988742633641	1.0	0.407161051064	0.999563254917	0.999444089133
0	1	0	0	0	1	1	1	0	0	1.0	0.970230564644	0.999566248971	0.988742633641	1.0	0.408729467189	0.999563254917	0.999444089133
0	1	0	0	1	1	1	0	1	1	1.0	0.967156774553	0.999566355013	0.988984521277	1.0	0.00585439130793	0.999562626056	0.998006449181
0	1	0	0	1	1	1	0	0	1	1.0	0.967156774553	0.999566355013	0.988984521277	1.0	0.00585439130793	0.999562626056	0.998006449181
0	1	0	0	1	1	1	1	0	0	1.0	0.967156774553	0.999566355013	0.988984521277	1.0	0.00742280743271	0.999562626056	0.998006449181
0	1	0	1	0	0	1	0	1	1	1.0	0.967807602583	0.999555744605	0.965353787472	1.0	0.945626954893	0.999562885483	0.998599025575
0	1	0	1	0	0	1	0	0	1	1.0	0.967807602583	0.999555744605	0.965353787472	1.0	0.945626954893	0.999562885483	0.998599025575
0	1	0	1	0	0	1	1	0	0	1.0	0.967807602583	0.999555744605	0.965353787472	1.0	0.985754357355	0.999562885483	0.998599025575
0	1	0	1	1	0	1	0	1	1	1.0	0.965761842245	0.999555800071	0.96547438039	1.0	0.849537191847	0.999562634711	0.998026209046
0	1	0	1	1	0	1	0	0	1	1.0	0.965761842245	0.999555800071	0.96547438039	1.0	0.849537191847	0.999562634711	0.998026209046
0	1	0	1	1	0	1	1	0	0	1.0	0.965761842245	0.999555800071	0.96547438039	1.0	0.889664594308	0.999562634711	0.998026209046
0	1	1	0	0	0	1	0	1	1	0.999960134003	0.970322485737	1.0	0.942008530984	1.0	0.864034752089	0.999705971825	0.992087052305
0	1	1	0	0	0	1	0	0	1	0.999960134003	0.970322485737	1.0	0.942008530984	1.0	0.864034752089	0.999705971825	0.992087052305
0	1	1	0	0	0	1	1	0	0	0.999960134003	0.970322485737	1.0	0.942008530984	1.0	0.90416215455	0.999705971825	0.992087052305
0	1	1	0	1	0	1	0	1	1	0.999960134003	0.970322485737	1.0	0.942008530984	1.0	0.864034752089	0.999705971825	0.992087052305
0	1	1	0	1	0	1	0	0	1	0.999960134003	0.970322485737	1.0	0.942008530984	1.0	0.864034752089	0.999705971825	0.992087052305
0	1	1	0	1	0	1	1	0	0	0.999960134003	0.970322485737	1.0	0.942008530984	1.0	0.90416215455	0.999705971825	0.992087052305
