#contig_id	CELEG	ECOLI	HSAPI	PAERU	taxonomy	fraction_reads
CELEG.contig_1096	40867	0	0	0	CELEG	1.00
CELEG.contig_1097	40095	0	0	0	CELEG	1.00
CELEG.contig_1098	22772	0	0	0	CELEG	1.00
CELEG.contig_1099	3760	0	0	0	CELEG	1.00
CELEG.contig_11	3975	0	0	0	CELEG	1.00
CELEG.contig_110	28938	0	0	0	CELEG	1.00
CELEG.contig_1100	2230	0	0	0	CELEG	1.00
CELEG.contig_1101	4385	0	0	0	CELEG	1.00
CELEG.contig_1102	407	0	0	0	CELEG	1.00
CELEG.contig_1103	13846	0	0	0	CELEG	1.00
CELEG.contig_1104	619	0	0	0	CELEG	1.00
CELEG.contig_1105	1691	0	0	0	CELEG	1.00
CELEG.contig_1106	7851	0	0	0	CELEG	1.00
CELEG.contig_1107	1359	0	0	0	CELEG	1.00
CELEG.contig_1108	9128	0	0	0	CELEG	1.00
CELEG.contig_1109	15849	0	0	0	CELEG	1.00
CELEG.contig_111	34720	0	0	0	CELEG	1.00
CELEG.contig_1110	16824	0	0	0	CELEG	1.00
CELEG.contig_1111	1378	0	0	0	CELEG	1.00
CELEG.contig_1112	4993	0	0	0	CELEG	1.00
CELEG.contig_1113	3846	0	0	0	CELEG	1.00
CELEG.contig_1114	3694	0	0	0	CELEG	1.00
CELEG.contig_1115	2209	0	0	0	CELEG	1.00
CELEG.contig_1116	10848	0	0	0	CELEG	1.00
CELEG.contig_1117	1750	0	0	0	CELEG	1.00
CELEG.contig_1118	148	0	0	0	CELEG	1.00
CELEG.contig_1119	171	0	0	0	CELEG	1.00
CELEG.contig_112	18708	0	0	0	CELEG	1.00
CELEG.contig_1120	2695	0	0	0	CELEG	1.00
CELEG.contig_1121	1278	0	0	0	CELEG	1.00
CELEG.contig_1122	21366	0	0	0	CELEG	1.00
CELEG.contig_1123	21580	0	0	0	CELEG	1.00
CELEG.contig_1124	84095	0	0	0	CELEG	1.00
CELEG.contig_1125	22129	0	0	0	CELEG	1.00
CELEG.contig_1126	34118	0	0	0	CELEG	1.00
CELEG.contig_1127	22520	0	0	0	CELEG	1.00
CELEG.contig_1128	8900	0	0	0	CELEG	1.00
CELEG.contig_1129	34921	0	0	0	CELEG	1.00
CELEG.contig_113	6388	0	0	0	CELEG	1.00
CELEG.contig_1130	3426	0	0	0	CELEG	1.00
CELEG.contig_1131	12913	0	0	0	CELEG	1.00
CELEG.contig_1132	12471	0	0	0	CELEG	1.00
CELEG.contig_1133	8335	0	0	0	CELEG	1.00
CELEG.contig_1134	3221	0	0	0	CELEG	1.00
CELEG.contig_1135	850	0	0	0	CELEG	1.00
CELEG.contig_1136	22622	0	0	0	CELEG	1.00
CELEG.contig_1137	14667	0	0	0	CELEG	1.00
CELEG.contig_1138	633	0	0	0	CELEG	1.00
CELEG.contig_1139	34857	0	0	0	CELEG	1.00
CELEG.contig_114	15045	0	0	0	CELEG	1.00
CELEG.contig_1140	10972	0	0	0	CELEG	1.00
CELEG.contig_1141	243893	0	0	0	CELEG	1.00
CELEG.contig_1142	4410	0	0	0	CELEG	1.00
CELEG.contig_1143	2088	0	0	0	CELEG	1.00
CELEG.contig_1144	20883	0	0	0	CELEG	1.00
CELEG.contig_1145	1107	0	0	0	CELEG	1.00
CELEG.contig_1146	12708	0	0	0	CELEG	1.00
CELEG.contig_1147	7643	0	0	0	CELEG	1.00
CELEG.contig_1148	2018	0	0	0	CELEG	1.00
CELEG.contig_1149	1080	0	0	0	CELEG	1.00
CELEG.contig_115	15235	0	0	0	CELEG	1.00
CELEG.contig_1150	24087	0	0	0	CELEG	1.00
CELEG.contig_1151	29501	0	0	0	CELEG	1.00
CELEG.contig_1152	442	0	0	0	CELEG	1.00
CELEG.contig_1153	9588	0	0	0	CELEG	1.00
CELEG.contig_1154	15619	0	0	0	CELEG	1.00
CELEG.contig_1155	600	0	0	0	CELEG	1.00
CELEG.contig_1156	5358	0	0	0	CELEG	1.00
CELEG.contig_1157	1749	0	0	0	CELEG	1.00
CELEG.contig_1158	24381	0	0	0	CELEG	1.00
CELEG.contig_1159	2769	0	0	0	CELEG	1.00
CELEG.contig_116	6225	0	0	0	CELEG	1.00
CELEG.contig_1160	2372	0	0	0	CELEG	1.00
CELEG.contig_1161	237	0	0	0	CELEG	1.00
CELEG.contig_1162	10095	0	0	0	CELEG	1.00
CELEG.contig_1163	2383	0	0	0	CELEG	1.00
CELEG.contig_1164	6471	0	0	0	CELEG	1.00
CELEG.contig_1165	4118	0	0	0	CELEG	1.00
CELEG.contig_1166	394	0	0	0	CELEG	1.00
CELEG.contig_1167	28718	0	1	0	CELEG	1.00
CELEG.contig_1168	10617	0	0	0	CELEG	1.00
CELEG.contig_1169	9529	0	0	0	CELEG	1.00
CELEG.contig_117	31068	0	0	0	CELEG	1.00
